               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,            0.019574,           0.0074173,           0.0021091,             0.86551,             0.90014,             0.89311,             0.62496,            0.024086,            0.010822,            0.015312,           0.0091387,           0.0091387,           0.0091387
                  89,             0.02047,           0.0075216,            0.002047,             0.92175,             0.87654,             0.91039,             0.67354,            0.022202,            0.010287,            0.015811,           0.0091288,           0.0091288,           0.0091288
                  90,            0.019632,           0.0071966,           0.0024503,             0.87975,             0.90909,             0.92715,              0.6909,            0.021146,           0.0094318,            0.013717,           0.0091189,           0.0091189,           0.0091189
                  91,            0.019836,           0.0074195,           0.0022498,             0.92764,             0.88225,             0.92337,               0.671,            0.023799,           0.0097345,            0.010311,            0.009109,            0.009109,            0.009109
                  92,            0.020047,           0.0072951,           0.0027134,             0.90292,             0.92958,             0.93814,              0.7108,            0.020368,           0.0091754,            0.010499,           0.0090991,           0.0090991,           0.0090991
                  93,            0.018647,            0.007287,           0.0023219,              0.9425,             0.93939,             0.95087,             0.68054,            0.022192,           0.0088733,           0.0072323,           0.0090892,           0.0090892,           0.0090892
                  94,            0.019095,           0.0069399,           0.0024933,             0.91404,             0.93661,             0.93864,             0.69128,            0.022513,           0.0096527,           0.0077996,           0.0090793,           0.0090793,           0.0090793
                  95,            0.019947,           0.0069346,           0.0033449,             0.93536,             0.93939,             0.94048,             0.65885,            0.024962,           0.0099359,           0.0075269,           0.0090694,           0.0090694,           0.0090694
                  96,            0.019601,             0.00751,            0.001896,             0.91433,             0.90606,             0.92838,             0.68175,            0.021472,           0.0092731,           0.0097345,           0.0090595,           0.0090595,           0.0090595
                  97,            0.019165,            0.007396,            0.001897,             0.89434,              0.9066,             0.93981,             0.67255,            0.023624,           0.0099652,           0.0099051,           0.0090496,           0.0090496,           0.0090496
                  98,            0.019674,           0.0072753,           0.0024425,             0.91447,             0.91558,             0.93972,             0.69065,            0.021559,           0.0092279,            0.013197,           0.0090397,           0.0090397,           0.0090397
                  99,            0.018955,           0.0067423,           0.0019377,             0.91164,             0.91558,             0.93204,              0.6689,            0.023722,           0.0095306,            0.011497,           0.0090298,           0.0090298,           0.0090298
                 100,            0.018301,           0.0072068,            0.002536,             0.91684,             0.92793,             0.94285,             0.66423,            0.023481,           0.0097327,           0.0096565,           0.0090199,           0.0090199,           0.0090199
                 101,             0.01812,           0.0067685,           0.0021548,             0.93507,             0.92435,             0.94178,             0.63059,             0.02651,           0.0097278,           0.0090157,             0.00901,             0.00901,             0.00901
                 102,            0.019756,           0.0074059,           0.0025898,             0.93173,             0.92307,             0.94024,             0.67341,            0.023003,           0.0097479,           0.0090511,           0.0090001,           0.0090001,           0.0090001
                 103,            0.018478,           0.0068324,           0.0019801,              0.8773,             0.93543,             0.93357,             0.67546,            0.023327,            0.010506,            0.011852,           0.0089902,           0.0089902,           0.0089902
                 104,            0.018113,            0.006999,           0.0016439,             0.87896,             0.92732,             0.93954,             0.65991,            0.024842,            0.010815,            0.011354,           0.0089803,           0.0089803,           0.0089803
                 105,            0.017777,             0.00661,           0.0024554,             0.93036,             0.92528,             0.93195,             0.66601,            0.022899,            0.010387,           0.0088354,           0.0089704,           0.0089704,           0.0089704
                 106,            0.016593,           0.0068989,           0.0023974,             0.94112,             0.90605,             0.93968,             0.67384,            0.022976,            0.010046,           0.0098213,           0.0089605,           0.0089605,           0.0089605
                 107,            0.018123,           0.0065839,           0.0023115,              0.9359,             0.91029,             0.94378,             0.72134,            0.020749,           0.0096185,           0.0098053,           0.0089506,           0.0089506,           0.0089506
                 108,            0.017878,           0.0068864,           0.0018836,             0.92592,             0.90503,             0.93393,             0.70315,            0.020289,            0.009516,           0.0095804,           0.0089407,           0.0089407,           0.0089407
                 109,             0.01905,           0.0068887,           0.0018619,             0.93935,             0.90909,              0.9393,              0.6847,            0.023658,            0.010024,           0.0090637,           0.0089308,           0.0089308,           0.0089308
