               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.023921,            0.009271,           0.0035001,             0.89536,             0.73856,             0.80323,             0.54963,            0.025379,           0.0062991,            0.019237,           0.0094258,           0.0094258,           0.0094258
                  60,            0.024496,            0.008624,           0.0031852,             0.88526,             0.71831,             0.84092,             0.59027,            0.026091,           0.0056195,            0.019991,           0.0094159,           0.0094159,           0.0094159
                  61,            0.024422,           0.0087272,           0.0032883,             0.89183,             0.74143,              0.8469,             0.56909,            0.027475,           0.0053958,            0.014916,            0.009406,            0.009406,            0.009406
                  62,            0.023177,           0.0089672,           0.0038954,             0.85366,             0.81512,              0.8339,             0.59025,            0.023512,           0.0054422,            0.016805,           0.0093961,           0.0093961,           0.0093961
                  63,            0.024032,           0.0091124,           0.0036117,              0.9052,             0.86242,             0.88619,             0.57868,            0.025838,           0.0060089,            0.011547,           0.0093862,           0.0093862,           0.0093862
                  64,            0.023757,           0.0097081,           0.0029127,             0.89812,             0.89028,             0.88257,             0.57743,            0.025836,           0.0057507,            0.012364,           0.0093763,           0.0093763,           0.0093763
                  65,            0.023304,           0.0089634,           0.0038874,             0.90459,             0.87264,             0.88536,             0.61334,            0.024222,           0.0057098,            0.010254,           0.0093664,           0.0093664,           0.0093664
                  66,            0.023395,           0.0086709,           0.0032802,             0.85153,             0.80448,             0.85812,             0.55976,            0.025794,           0.0062985,             0.01825,           0.0093565,           0.0093565,           0.0093565
                  67,            0.023028,            0.008761,           0.0033536,             0.93286,             0.75511,             0.83263,             0.52978,             0.02948,           0.0067667,            0.011141,           0.0093466,           0.0093466,           0.0093466
                  68,            0.024016,           0.0085426,           0.0036447,             0.88395,             0.73237,             0.81042,             0.55418,            0.029915,           0.0073502,            0.011467,           0.0093367,           0.0093367,           0.0093367
                  69,             0.02319,           0.0084877,           0.0038604,             0.84338,             0.74579,             0.82421,             0.49617,            0.027631,           0.0071213,            0.014287,           0.0093268,           0.0093268,           0.0093268
                  70,            0.022588,           0.0093497,           0.0035954,             0.83007,             0.81085,             0.82296,              0.5207,            0.027474,           0.0072076,            0.012574,           0.0093169,           0.0093169,           0.0093169
                  71,            0.024156,           0.0092445,           0.0033155,             0.88311,             0.87485,             0.87975,             0.60131,            0.024181,           0.0055148,            0.012843,            0.009307,            0.009307,            0.009307
                  72,            0.022912,           0.0089807,           0.0032231,             0.88882,             0.77032,             0.84543,             0.58069,            0.024595,           0.0050925,            0.018513,           0.0092971,           0.0092971,           0.0092971
                  73,            0.023476,            0.008943,           0.0030307,             0.86121,             0.77917,             0.78856,             0.54169,            0.025242,           0.0049518,            0.018055,           0.0092872,           0.0092872,           0.0092872
                  74,            0.022125,           0.0088486,            0.002552,             0.87054,             0.76311,             0.81718,             0.52025,            0.026903,           0.0050253,             0.02133,           0.0092773,           0.0092773,           0.0092773
                  75,            0.021983,           0.0084676,           0.0031691,             0.84337,             0.83764,             0.83777,             0.54793,            0.028978,           0.0056104,            0.016212,           0.0092674,           0.0092674,           0.0092674
                  76,            0.022968,           0.0085911,           0.0029574,             0.90304,             0.78153,             0.87058,             0.61127,            0.023298,           0.0054828,            0.017173,           0.0092575,           0.0092575,           0.0092575
                  77,            0.022323,           0.0086888,           0.0025718,              0.8725,             0.79764,             0.85872,             0.58527,             0.02478,           0.0051132,            0.016918,           0.0092476,           0.0092476,           0.0092476
                  78,            0.022339,           0.0089775,           0.0025698,             0.92372,             0.88521,             0.89669,             0.60964,            0.026592,           0.0052658,           0.0088497,           0.0092377,           0.0092377,           0.0092377
                  79,            0.022657,           0.0087457,           0.0033357,             0.90321,             0.82938,             0.86333,             0.59325,            0.025237,           0.0054044,            0.012197,           0.0092278,           0.0092278,           0.0092278
